day,time,number,floor
Mon,1,5136,5
Mon,1,5234,5
Mon,1,5335,5
Mon,1,5336,5
Mon,1,5533,5
Mon,1,5534,5
Mon,1,6409,6
Mon,1,6417,6
Mon,1,6425,6
Mon,2,5133,5
Mon,2,5134,5
Mon,2,5135,5
Mon,2,5136,5
Mon,2,5137,5
Mon,2,5138,5
Mon,2,5235,5
Mon,2,5236,5
Mon,2,5334,5
Mon,2,5335,5
Mon,2,5336,5
Mon,2,5534,5
Mon,2,6309,6
Mon,2,6310,6
Mon,2,6317,6
Mon,2,6318,6
Mon,2,6325,6
Mon,2,6326,6
Mon,2,6405,6
Mon,2,6409,6
Mon,2,6417,6
Mon,2,6421,6
Mon,2,6425,6
Mon,3,5133,5
Mon,3,5134,5
Mon,3,5233,5
Mon,3,5234,5
Mon,3,5235,5
Mon,3,5235,5
Mon,3,5236,5
Mon,3,5333,5
Mon,3,5334,5
Mon,3,5335,5
Mon,3,5336,5
Mon,3,5534,5
Mon,3,6210,6
Mon,3,6301,6
Mon,3,6302,6
Mon,3,6309,6
Mon,3,6310,6
Mon,3,6318,6
Mon,3,6325,6
Mon,3,6402,6
Mon,3,6405,6
Mon,3,6410,6
Mon,3,6417,6
Mon,3,6418,6
Mon,3,6421,6
Mon,4,5134,5
Mon,4,5135,5
Mon,4,5136,5
Mon,4,5137,5
Mon,4,5233,5
Mon,4,5234,5
Mon,4,5235,5
Mon,4,5333,5
Mon,4,5334,5
Mon,4,5335,5
Mon,4,5336,5
Mon,4,5533,5
Mon,4,5534,5
Mon,4,6210,6
Mon,4,6302,6
Mon,4,6310,6
Mon,4,6317,6
Mon,4,6325,6
Mon,4,6402,6
Mon,4,6405,6
Mon,4,6413,6
Mon,4,6418,6
Mon,4,6421,6
Mon,4,6426,6
Mon,4,6429,6
Mon,5,5134,5
Mon,5,5136,5
Mon,5,5235,5
Mon,5,5336,5
Mon,5,6210,6
Mon,5,6302,6
Mon,5,6310,6
Mon,5,6317,6
Mon,5,6318,6
Mon,5,6409,6
Mon,5,6413,6
Mon,5,6417,6
Mon,5,6418,6
Mon,5,6421,6
Mon,5,6425,6
Tue,1,5133,5
Tue,1,5135,5
Tue,1,5137,5
Tue,1,5138,5
Tue,1,5235,5
Tue,1,5533,5
Tue,1,5534,5
Tue,1,6301,6
Tue,1,6309,6
Tue,1,6326,6
Tue,1,6401,6
Tue,1,6402,6
Tue,1,6405,6
Tue,1,6410,6
Tue,1,6417,6
Tue,1,6429,6
Tue,2,5133,5
Tue,2,5134,5
Tue,2,5135,5
Tue,2,5136,5
Tue,2,5137,5
Tue,2,5138,5
Tue,2,5233,5
Tue,2,5234,5
Tue,2,5235,5
Tue,2,5236,5
Tue,2,5333,5
Tue,2,5334,5
Tue,2,5335,5
Tue,2,5336,5
Tue,2,5534,5
Tue,2,6209,6
Tue,2,6210,6
Tue,2,6301,6
Tue,2,6302,6
Tue,2,6310,6
Tue,2,6325,6
Tue,2,6326,6
Tue,2,6401,6
Tue,2,6410,6
Tue,2,6417,6
Tue,2,6418,6
Tue,3,5133,5
Tue,3,5134,5
Tue,3,5135,5
Tue,3,5136,5
Tue,3,5137,5
Tue,3,5138,5
Tue,3,5234,5
Tue,3,5235,5
Tue,3,5236,5
Tue,3,5333,5
Tue,3,5334,5
Tue,3,5335,5
Tue,3,5336,5
Tue,3,5534,5
Tue,3,6209,6
Tue,3,6210,6
Tue,3,6309,6
Tue,3,6310,6
Tue,3,6317,6
Tue,3,6318,6
Tue,3,6325,6
Tue,3,6326,6
Tue,3,6401,6
Tue,3,6402,6
Tue,3,6405,6
Tue,3,6410,6
Tue,3,6417,6
Tue,3,6418,6
Tue,3,6421,6
Tue,3,6425,6
Tue,3,6426,6
Tue,3,6429,6
Tue,4,5133,5
Tue,4,5134,5
Tue,4,5136,5
Tue,4,5137,5
Tue,4,5138,5
Tue,4,5233,5
Tue,4,5235,5
Tue,4,5236,5
Tue,4,5333,5
Tue,4,5334,5
Tue,4,5335,5
Tue,4,5336,5
Tue,4,5534,5
Tue,4,6210,6
Tue,4,6301,6
Tue,4,6309,6
Tue,4,6317,6
Tue,4,6318,6
Tue,4,6325,6
Tue,4,6326,6
Tue,4,6402,6
Tue,4,6405,6
Tue,4,6409,6
Tue,4,6410,6
Tue,4,6413,6
Tue,4,6417,6
Tue,4,6418,6
Tue,4,6421,6
Tue,4,6425,6
Tue,4,6426,6
Tue,5,5233,5
Tue,5,5333,5
Tue,5,5335,5
Tue,5,5533,5
Tue,5,6210,6
Tue,5,6301,6
Tue,5,6302,6
Tue,5,6310,6
Tue,5,6317,6
Tue,5,6325,6
Tue,5,6326,6
Tue,5,6401,6
Tue,5,6402,6
Tue,5,6405,6
Tue,5,6409,6
Tue,5,6410,6
Tue,5,6426,6
Tue,5,6429,6
Wed,1,5138,5
Wed,1,5233,5
Wed,1,5235,5
Wed,1,5335,5
Wed,1,5533,5
Wed,1,6209,6
Wed,1,6210,6
Wed,1,6310,6
Wed,1,6326,6
Wed,1,6402,6
Wed,1,6409,6
Wed,1,6410,6
Wed,1,6418,6
Wed,1,6425,6
Wed,2,5133,5
Wed,2,5135,5
Wed,2,5233,5
Wed,2,5234,5
Wed,2,5235,5
Wed,2,5333,5
Wed,2,5334,5
Wed,2,5335,5
Wed,2,5336,5
Wed,2,5533,5
Wed,2,6209,6
Wed,2,6310,6
Wed,2,6317,6
Wed,2,6318,6
Wed,2,6326,6
Wed,2,6402,6
Wed,2,6409,6
Wed,2,6410,6
Wed,2,6418,6
Wed,2,6426,6
Wed,3,5133,5
Wed,3,5134,5
Wed,3,5135,5
Wed,3,5136,5
Wed,3,5137,5
Wed,3,5138,5
Wed,3,5236,5
Wed,3,5335,5
Wed,3,5336,5
Wed,3,5534,5
Wed,3,6210,6
Wed,3,6301,6
Wed,3,6302,6
Wed,3,6310,6
Wed,3,6318,6
Wed,3,6325,6
Wed,3,6401,6
Wed,3,6402,6
Wed,3,6418,6
Wed,3,6421,6
Wed,3,6426,6
Wed,4,2902,2
Wed,4,5133,5
Wed,4,5135,5
Wed,4,5137,5
Wed,4,5138,5
Wed,4,5233,5
Wed,4,5234,5
Wed,4,5235,5
Wed,4,5333,5
Wed,4,5334,5
Wed,4,5335,5
Wed,4,5336,5
Wed,4,5533,5
Wed,4,6209,6
Wed,4,6210,6
Wed,4,6301,6
Wed,4,6302,6
Wed,4,6309,6
Wed,4,6317,6
Wed,4,6318,6
Wed,4,6405,6
Wed,4,6409,6
Wed,4,6410,6
Wed,4,6413,6
Wed,4,6421,6
Wed,4,6426,6
Wed,5,5234,5
Wed,5,5333,5
Wed,5,5533,5
Wed,5,6210,6
Wed,5,6309,6
Wed,5,6317,6
Wed,5,6401,6
Wed,5,6410,6
Wed,5,6417,6
Wed,5,6418,6
Wed,5,6426,6
Thr,1,2215,2
Thr,1,5233,5
Thr,1,5234,5
Thr,1,5235,5
Thr,1,5236,5
Thr,1,5334,5
Thr,1,5335,5
Thr,1,5336,5
Thr,1,6209,6
Thr,1,6318,6
Thr,1,6325,6
Thr,1,6402,6
Thr,1,6409,6
Thr,1,6417,6
Thr,1,6429,6
Thr,2,5133,5
Thr,2,5135,5
Thr,2,5136,5
Thr,2,5137,5
Thr,2,5138,5
Thr,2,5233,5
Thr,2,5234,5
Thr,2,5236,5
Thr,2,5334,5
Thr,2,5335,5
Thr,2,5336,5
Thr,2,5533,5
Thr,2,5534,5
Thr,2,6209,6
Thr,2,6210,6
Thr,2,6301,6
Thr,2,6302,6
Thr,2,6309,6
Thr,2,6310,6
Thr,2,6317,6
Thr,2,6318,6
Thr,2,6325,6
Thr,2,6402,6
Thr,2,6405,6
Thr,2,6409,6
Thr,2,6410,6
Thr,2,6413,6
Thr,2,6417,6
Thr,2,6421,6
Thr,2,6425,6
Thr,2,6426,6
Thr,2,6429,6
Thr,3,5133,5
Thr,3,5134,5
Thr,3,5136,5
Thr,3,5137,5
Thr,3,5138,5
Thr,3,5233,5
Thr,3,5235,5
Thr,3,5333,5
Thr,3,5334,5
Thr,3,5335,5
Thr,3,5336,5
Thr,3,6209,6
Thr,3,6210,6
Thr,3,6301,6
Thr,3,6302,6
Thr,3,6309,6
Thr,3,6310,6
Thr,3,6317,6
Thr,3,6325,6
Thr,3,6326,6
Thr,3,6402,6
Thr,3,6405,6
Thr,3,6409,6
Thr,3,6410,6
Thr,3,6413,6
Thr,3,6418,6
Thr,3,6425,6
Thr,3,6429,6
Thr,4,5138,5
Thr,4,5335,5
Thr,4,5533,5
Thr,4,6129,6
Thr,4,6209,6
Thr,4,6301,6
Thr,4,6302,6
Thr,4,6309,6
Thr,4,6310,6
Thr,4,6318,6
Thr,4,6325,6
Thr,4,6402,6
Thr,4,6405,6
Thr,4,6409,6
Thr,4,6410,6
Thr,4,6413,6
Thr,4,6418,6
Thr,4,6421,6
Thr,4,6425,6
Thr,4,6426,6
Thr,4,6429,6
Thr,5,5233,5
Thr,5,5235,5
Thr,5,6301,6
Thr,5,6318,6
Thr,5,6413,6
Thr,5,6421,6
Thr,5,6429,6
Fri,1,5135,5
Fri,1,5233,5
Fri,1,5234,5
Fri,1,5335,5
Fri,1,5533,5
Fri,1,5534,5
Fri,1,6209,6
Fri,1,6210,6
Fri,1,6302,6
Fri,1,6309,6
Fri,1,6310,6
Fri,1,6317,6
Fri,1,6318,6
Fri,1,6401,6
Fri,1,6417,6
Fri,1,6418,6
Fri,1,6426,6
Fri,2,5133,5
Fri,2,5134,5
Fri,2,5135,5
Fri,2,5136,5
Fri,2,5137,5
Fri,2,5138,5
Fri,2,5233,5
Fri,2,5234,5
Fri,2,5235,5
Fri,2,5236,5
Fri,2,5333,5
Fri,2,5334,5
Fri,2,5335,5
Fri,2,5336,5
Fri,2,5533,5
Fri,2,6209,6
Fri,2,6210,6
Fri,2,6302,6
Fri,2,6309,6
Fri,2,6310,6
Fri,2,6317,6
Fri,2,6318,6
Fri,2,6401,6
Fri,2,6413,6
Fri,2,6417,6
Fri,2,6418,6
Fri,2,6426,6
Fri,3,5133,5
Fri,3,5134,5
Fri,3,5135,5
Fri,3,5136,5
Fri,3,5137,5
Fri,3,5138,5
Fri,3,5205,5
Fri,3,5225,5
Fri,3,5234,5
Fri,3,5235,5
Fri,3,5236,5
Fri,3,5333,5
Fri,3,6209,6
Fri,3,6210,6
Fri,3,6301,6
Fri,3,6302,6
Fri,3,6309,6
Fri,3,6317,6
Fri,3,6325,6
Fri,3,6410,6
Fri,3,6413,6
Fri,3,6417,6
Fri,3,6425,6
Fri,3,6426,6
Fri,3,6429,6
Fri,4,5133,5
Fri,4,5138,5
Fri,4,5205,5
Fri,4,5225,5
Fri,4,5235,5
Fri,4,5236,5
Fri,4,5334,5
Fri,4,5335,5
Fri,4,5533,5
Fri,4,5534,5
Fri,4,6209,6
Fri,4,6301,6
Fri,4,6309,6
Fri,4,6317,6
Fri,4,6318,6
Fri,4,6326,6
Fri,4,6405,6
Fri,4,6409,6
Fri,5,5136,5
Fri,5,5205,5
Fri,5,5334,5
Fri,5,5534,5
Fri,5,6301,6
Fri,5,6302,6
Fri,5,6309,6
Fri,5,6310,6
Fri,5,6401,6
Fri,5,6409,6
Fri,5,6417,6
Fri,5,6425,6
Sat,1,5133,5
Sat,1,5134,5
Sat,1,6209,6
Sat,1,6210,6
Sat,1,6318,6
Sat,1,6401,6
Sat,1,6402,6
Sat,1,6405,6
Sat,2,5133,5
Sat,2,5134,5
Sat,2,5137,5
Sat,2,5138,5
Sat,2,6209,6
Sat,2,6210,6
Sat,2,6302,6
Sat,2,6309,6
Sat,2,6310,6
Sat,2,6318,6
Sat,2,6325,6
Sat,2,6401,6
Sat,2,6402,6
Sat,2,6405,6
Sat,3,5133,5
Sat,3,5137,5
Sat,3,5138,5
Sat,3,5235,5
Sat,3,6209,6
Sat,3,6210,6
Sat,3,6301,6
Sat,3,6302,6
Sat,3,6309,6
Sat,3,6310,6
Sat,3,6318,6
Sat,3,6401,6
Sat,3,6402,6
Sat,3,6405,6
Sat,4,5133,5
Sat,4,5235,5
Sat,4,6318,6
Sat,4,6325,6
Sat,4,6405,6
